output_filename,cubes,modr v L,core r cm,keff,keff unc,therm fis %
o_b8hcp-caseSC-c500-r66_68-d2o96_8-v1800.o,500.0,1800.0,66.6764,0.92185,0.00019,89.1
o_b8hcp-caseSC-c500-r68_98-d2o96_8-v2000.o,500.0,2000.0,68.98236,0.91863,0.00018,89.42
o_b8hcp-caseSC-c500-r71_14-d2o96_8-v2200.o,500.0,2200.0,71.14367,0.91419,0.0002,89.65
o_b8hcp-caseSC-c500-r73_18-d2o96_8-v2400.o,500.0,2400.0,73.18108,0.90806,0.00022,89.82
o_b8hcp-caseSC-c500-r75_11-d2o96_8-v2600.o,500.0,2600.0,75.11095,0.9017,0.00021,89.96
o_b8hcp-caseSC-c500-r76_95-d2o96_8-v2800.o,500.0,2800.0,76.94644,0.89489,0.00017,90.06
o_b8hcp-caseSC-c500-r78_70-d2o96_8-v3000.o,500.0,3000.0,78.69831,0.88722,0.0002,90.13
o_b8hcp-caseSC-c500-r80_38-d2o96_8-v3200.o,500.0,3200.0,80.37547,0.88011,0.0002,90.18
o_b8hcp-caseSC-c500-r81_99-d2o96_8-v3400.o,500.0,3400.0,81.98542,0.87156,0.00016,90.21
o_b8hcp-caseSC-c550-r58_67-d2o96_8-v1200.o,550.0,1200.0,58.66765,0.92173,0.00018,87.21
o_b8hcp-caseSC-c550-r61_60-d2o96_8-v1400.o,550.0,1400.0,61.60122,0.92887,0.00021,88.02
o_b8hcp-caseSC-c550-r64_28-d2o96_8-v1600.o,550.0,1600.0,64.2792,0.93139,0.00023,88.61
o_b8hcp-caseSC-c550-r66_75-d2o96_8-v1800.o,550.0,1800.0,66.7509,0.93089,0.00019,89.04
o_b8hcp-caseSC-c550-r69_05-d2o96_8-v2000.o,550.0,2000.0,69.05197,0.92828,0.00019,89.38
o_b8hcp-caseSC-c550-r71_21-d2o96_8-v2200.o,550.0,2200.0,71.20912,0.92433,0.00016,89.64
o_b8hcp-caseSC-c550-r73_24-d2o96_8-v2400.o,550.0,2400.0,73.24294,0.91887,0.00019,89.83
o_b8hcp-caseSC-c550-r75_17-d2o96_8-v2600.o,550.0,2600.0,75.16968,0.91297,0.00021,89.99
o_b8hcp-caseSC-c550-r77_00-d2o96_8-v2800.o,550.0,2800.0,77.0024,0.90603,0.00019,90.09
o_b8hcp-caseSC-c550-r78_75-d2o96_8-v3000.o,550.0,3000.0,78.75181,0.89852,0.00018,90.16
o_b8hcp-caseSC-c550-r80_43-d2o96_8-v3200.o,550.0,3200.0,80.42677,0.89135,0.0002,90.21
o_b8hcp-caseSC-c550-r82_03-d2o96_8-v3400.o,550.0,3400.0,82.03472,0.88384,0.00016,90.26
o_b8hcp-caseSC-c600-r58_76-d2o96_8-v1200.o,600.0,1200.0,58.76383,0.92728,0.00018,87.07
o_b8hcp-caseSC-c600-r61_69-d2o96_8-v1400.o,600.0,1400.0,61.68848,0.93568,0.00022,87.94
o_b8hcp-caseSC-c600-r64_36-d2o96_8-v1600.o,600.0,1600.0,64.35935,0.93857,0.00021,88.56
o_b8hcp-caseSC-c600-r66_83-d2o96_8-v1800.o,600.0,1800.0,66.82523,0.93891,0.00018,89.0
o_b8hcp-caseSC-c600-r69_12-d2o96_8-v2000.o,600.0,2000.0,69.12143,0.93646,0.0002,89.36
o_b8hcp-caseSC-c600-r71_27-d2o96_8-v2200.o,600.0,2200.0,71.27444,0.93299,0.0002,89.61
o_b8hcp-caseSC-c600-r73_30-d2o96_8-v2400.o,600.0,2400.0,73.30469,0.928,0.00018,89.83
o_b8hcp-caseSC-c600-r75_23-d2o96_8-v2600.o,600.0,2600.0,75.22831,0.92255,0.0002,89.98
o_b8hcp-caseSC-c600-r77_06-d2o96_8-v2800.o,600.0,2800.0,77.05828,0.91563,0.00019,90.1
o_b8hcp-caseSC-c600-r78_81-d2o96_8-v3000.o,600.0,3000.0,78.80524,0.90884,0.00023,90.19
o_b8hcp-caseSC-c600-r80_48-d2o96_8-v3200.o,600.0,3200.0,80.47799,0.90182,0.00017,90.26
o_b8hcp-caseSC-c600-r82_08-d2o96_8-v3400.o,600.0,3400.0,82.08396,0.89417,0.00021,90.32
o_b8hcp-caseSC-c664-r58_89-d2o96_8-v1200.o,664.0,1200.0,58.88648,0.93447,0.00019,87.1
o_b8hcp-caseSC-c664-r61_80-d2o96_8-v1400.o,664.0,1400.0,61.7998,0.94246,0.00018,87.98
o_b8hcp-caseSC-c664-r64_46-d2o96_8-v1600.o,664.0,1600.0,64.46165,0.94575,0.00018,88.59
o_b8hcp-caseSC-c664-r66_92-d2o96_8-v1800.o,664.0,1800.0,66.92014,0.94553,0.00019,89.04
o_b8hcp-caseSC-c664-r69_21-d2o96_8-v2000.o,664.0,2000.0,69.21015,0.94373,0.00018,89.4
o_b8hcp-caseSC-c664-r71_36-d2o96_8-v2200.o,664.0,2200.0,71.35789,0.93981,0.00021,89.68
o_b8hcp-caseSC-c664-r73_38-d2o96_8-v2400.o,664.0,2400.0,73.38359,0.93495,0.00019,89.87
o_b8hcp-caseSC-c664-r75_30-d2o96_8-v2600.o,664.0,2600.0,75.30323,0.92883,0.00019,90.02
o_b8hcp-caseSC-c664-r77_13-d2o96_8-v2800.o,664.0,2800.0,77.12969,0.92201,0.00017,90.16
o_b8hcp-caseSC-c664-r78_87-d2o96_8-v3000.o,664.0,3000.0,78.87352,0.91554,0.00019,90.24
o_b8hcp-caseSC-c664-r80_54-d2o96_8-v3200.o,664.0,3200.0,80.54347,0.90826,0.00019,90.3
o_b8hcp-caseSC-c664-r82_15-d2o96_8-v3400.o,664.0,3400.0,82.1469,0.90129,0.00016,90.36
o_b8hcp-caseSC-c700-r58_96-d2o96_8-v1200.o,700.0,1200.0,58.95525,0.93458,0.0002,86.78
o_b8hcp-caseSC-c700-r61_86-d2o96_8-v1400.o,700.0,1400.0,61.86225,0.94452,0.0002,87.71
o_b8hcp-caseSC-c700-r64_52-d2o96_8-v1600.o,700.0,1600.0,64.51905,0.94909,0.00019,88.38
